"varID","Crop","Field","PlantingMonth","Year"
"cpmy_1","Beans (bush)","Row 1","Apr","1"
"cpmy_2","Tomatoes indeterminate","Row 1","Apr","1"
"cpmy_3","Beans (bush)","Row 1","May","1"
"cpmy_4","Tomatoes indeterminate","Row 1","May","1"
"cpmy_5","Tomatoes indeterminate","Row 1","Jun","1"
"cpmy_6","Tomatoes indeterminate","Row 1","Jul","1"
"cpmy_7","Beans (bush)","Row 1","Apr","2"
"cpmy_8","Tomatoes indeterminate","Row 1","Apr","2"
"cpmy_9","Beans (bush)","Row 1","May","2"
"cpmy_10","Tomatoes indeterminate","Row 1","May","2"
"cpmy_11","Tomatoes indeterminate","Row 1","Jun","2"
"cpmy_12","Tomatoes indeterminate","Row 1","Jul","2"
"cpmy_13","Beans (bush)","Row 1","Apr","3"
"cpmy_14","Tomatoes indeterminate","Row 1","Apr","3"
"cpmy_15","Beans (bush)","Row 1","May","3"
"cpmy_16","Tomatoes indeterminate","Row 1","May","3"
"cpmy_17","Tomatoes indeterminate","Row 1","Jun","3"
"cpmy_18","Tomatoes indeterminate","Row 1","Jul","3"
"cpmy_19","Beans (bush)","Row 1","Apr","4"
"cpmy_20","Tomatoes indeterminate","Row 1","Apr","4"
"cpmy_21","Beans (bush)","Row 1","May","4"
"cpmy_22","Tomatoes indeterminate","Row 1","May","4"
"cpmy_23","Tomatoes indeterminate","Row 1","Jun","4"
"cpmy_24","Tomatoes indeterminate","Row 1","Jul","4"
"cpmy_25","Beans (bush)","Row 2","Apr","1"
"cpmy_26","Tomatoes indeterminate","Row 2","Apr","1"
"cpmy_27","Beans (bush)","Row 2","May","1"
"cpmy_28","Tomatoes indeterminate","Row 2","May","1"
"cpmy_29","Tomatoes indeterminate","Row 2","Jun","1"
"cpmy_30","Tomatoes indeterminate","Row 2","Jul","1"
"cpmy_31","Beans (bush)","Row 2","Apr","2"
"cpmy_32","Tomatoes indeterminate","Row 2","Apr","2"
"cpmy_33","Beans (bush)","Row 2","May","2"
"cpmy_34","Tomatoes indeterminate","Row 2","May","2"
"cpmy_35","Tomatoes indeterminate","Row 2","Jun","2"
"cpmy_36","Tomatoes indeterminate","Row 2","Jul","2"
"cpmy_37","Beans (bush)","Row 2","Apr","3"
"cpmy_38","Tomatoes indeterminate","Row 2","Apr","3"
"cpmy_39","Beans (bush)","Row 2","May","3"
"cpmy_40","Tomatoes indeterminate","Row 2","May","3"
"cpmy_41","Tomatoes indeterminate","Row 2","Jun","3"
"cpmy_42","Tomatoes indeterminate","Row 2","Jul","3"
"cpmy_43","Beans (bush)","Row 2","Apr","4"
"cpmy_44","Tomatoes indeterminate","Row 2","Apr","4"
"cpmy_45","Beans (bush)","Row 2","May","4"
"cpmy_46","Tomatoes indeterminate","Row 2","May","4"
"cpmy_47","Tomatoes indeterminate","Row 2","Jun","4"
"cpmy_48","Tomatoes indeterminate","Row 2","Jul","4"
